text,sentiment
"Flyttstädningen, Blev bemött positivt, bra och smidigt service.",positive
Vi har köpt en lägenhet genom en mäklare som vi anlitade för att sälja vår villa. Enligt mäklaren skulle det inte vara några som helst problem att sälja men hitintills har ingen riktigt seriös köpare dykt upp och vi tycker inte mäklaren anstränger sig.,negative
"Snabb service,  trevligt bemötande och inte för kostsamt.  Rekommenderas.",positive
"Tyvärr har Tabbouli nu sittningar med begränsade tider vilket gjorde att vi valde en annan restaurang. Det är OK under en lunch, inte en middag en fredagkväll.",negative
"Besökte naprapaten, fick ett väldigt bra bemötande.",positive
"fortfarande inte klart , gått 1 år nu , mycket fel och mycket fick göras om , väntar fortfarande på elektrikern för att få belysning .",negative
Fönsterputsning Tycker det fungerar väldigt bra Jag är väldigt nöjd,positive
Det blev inte jätte bra för mobilen är segare och färgerna är fel och mobilskärmen blir grå efter ett tag o men kan se tangentbordet i bakgrunden ofta. Men själva glaset är fint,negative
Skrivit avtal för nyproducerad lägenhet. Fått bra hjälp från mäklare som tagit fram svar på de frågor jag hade,positive
"Inte ens med utförliga skriftliga instruktioner, lathund och uppsatta lappar lyckades städaren med det enkla uppdraget som att tvätta och torka sängkläder, bädda rent och tömma papperskorgar etc. Sista tillfället bäddades sängarna rent med fuktiga sängkläder. Kan tyvärr inte rekommendera Hemmiljö",negative
Bygg nytt i väst renoverade vår sockel på huset och resultatet blev verkligen kanon. Trevlig personal och notan va exakt på lika mycket som offerten. Rekommenderas starkt!,positive
"Uselt! Man får verkligen vad man betalar för...Tomma ord, en säljare som bara är ute efter provision men inga färdiga produkter eller rutiner trots att dessa lovas dyrt och heligt av säljaren. Kvalitetsproblem i alla led trots att VD är snabb med att försöka imponera kunden med att snabbt vara ute på problemärenden. Men dessa dyker ständigt upp - varför?! Deras programvara som skulle visa allt transparent - ja, där syns ingenting av det som såldes in innan avtalsskrivningen. Och de verkar ha ovanligt hög personalomsättning Ingenting att rekommendera",negative
Grym personal! Grymt bra service. Säljarna var trevliga o morsade när man kom in och bjöd på fika. Kommer definitivt tillbaka hit.,positive
Ni skickade fel typ av reperantaör som inte klarade av att fixa uppdraget,negative
"Bra relevant info, målet var att kunna hålla sig koncentrerad hela kursen, gått på tidigare handledarkurser & då har det inte varit det lättaste men tack vara otroligt bra pedagog var det inget problem, rekommenderar denna starkt.",positive
"I haven't gotten my tires yet, they are still with you guys. You advertised 150 kronor per wheel on the dackonline website and then sent me an email saying it was going to cost 190 kronor a wheel. The bait and switch tactic does not fill me with joy. 150 kronor a wheel is about what the other garages I've contacted are charging.",negative
Alltid glad och trevlig personal,positive
"Film är bäst på bio? Inte på filmstaden i Norrköping! Här finns det 8 biosalar men det är bara tre stycken som är värda att kallas bio, trean: störst bild och bästa sätena(nya) ej DTS ljud, feman: DTS ljud men säten som helt utslitna, sjuan: DTS ljud men säten som helt utslitna samt strulande ljudsystem. David H har helt rätt om bild (gäller alla tre ovan nämnda salonger), ofta suddig bild eller text som först åtgärdas efter att någon måste hämta personal, USELT! Under sommaren & hösten har jag sett flera filmer i salong sju med helt uselt ljud, dålig rymd, centerhögtalaren låter som diskanten är trasig och alldeles för låg volym. Såg Surrugates igår i den salongen, samma problem som tidigare så vi sa till i början på filmen. Gubben lovade att åtgärda problemet men det blev ingen förbättring. Efter filmen sa vi till igen att ljudet varit urdåligt. Fick då till svar att ""det digitala ljudet ville inte hoppa igång så de körde det analoga"". Jag påpekade att centerhögtalaren låter trasig men det hånlog gubben åt och förklarade (nedlåtande) att det var det analoga ljudet som var dåligt. Problemet är ju bara att det är tredje filmen jag ser där med samma ljudproblem (på 6 månader). Någon kompensation för att vi betalat 200kr för att se på något med ljud som en 28"" bullTV från 1986 var det inte tal om (om vi ville kunde vi ringa till SF kundtjänst och klaga)! Film är bäst på hembio!",negative
Trevlig bemötande och snabb service,positive
"Lämna in min bil, men allt blev ej gjort. Får åka tillbaka så allt blir gjort.",negative
mycket bra bemötande men färgen på trycket var inte vad jag förväntade mig. Men det kan ha varit mitt fel :-),positive
"De behåller pengarna trots att man inte fått sin mat (STÖLD), mycket otrevlig kundtjänst, avbryter order 30-90 min efter beställning, försenad mat, kall mat, grymt otrevliga bud som inte gör sitt jobb. Jag kunde i stort sett inte gå upp och ner för trappor, varpå jag beställde hemleverans, dvs till dörren. Försöker berätta det för budet i tfn men han vägrade lyssna. Med mera med mera. ⚠️VARNING ⚠️ för detta skitföretag!!",negative
Har köpt en ny bil och fick ett mycket bra och trevligt bemötande genom hela processen.,positive
"Vi köpte en säng. Försäljaren undersökte inte våra behov. Det blev helt fel. Nu försöker jag sälja madrasserna på Blocket vilket inte går. Vi använder våra gamla Ikeamadrasser som fungerar. Vi har fått erbjudande om att köpa nya till sänkt pris, men vågar inte chansa. Sängen får vi stå ut med. Hade jag vetat detta hade vi handlat på Ikea.",negative
Har både köpt och sålt bostad genom Svensk Fastighetsförmedling Bollnäs. Pär och Johanna som mäklare har haft bra bemötande och hanteringen genom hela processen.,positive
Hörde aldrig av sig. Valde en annan firma för service.,negative
"Vi såg rockshowen i Stockholm och vilken rolig upplevelse. Bra musik, fantastiska artister och god mat! Blev väldigt bra bemött av alla.",positive
"Sämsta verkstaden jag varit på någonsin, lämnade bilen på service för att det skramlade i dörren på passagerar sidan de öppnade upp förar sidan istället,  saker från bilen saknades när jag fick tillbaka den och detta ersatte dom efter erkännande av personal,, fick dörren repad, värst av allt är när vänner som jobbar i närheten ringer och säger att torvalla bil kör din bil som galningar",negative
Köpt ett hus och fått ett trevligt  bemötande.,positive
"Köpte en bil för 155.000:- Efter 1 dag la backsensorerna av, vilket jag ringde och påpekade. Fick åka tillbaka med bilen och blev då ifrågasatt om jag inte kört på något eller krockat med bilen. De bytte ut 2 av sensorerna och jag åkte därifrån. Ca 2 månader senare gick backsensorerna sönder igen och jag ringde och påpekade detta men de sa att garantin inte gällde då den hade gått ut för några dagar sedan.  Dessutom var de säkra på att det var någon annan sensor som hade lagt av denna gången än de som var bytta första gången ( hur man nu kan veta det över telefonen? ) De körde även någon vals om att garantin bara gällde i 1 månad efter köpet, även så stod det klart och tydligt på mitt kontrakt att det gällde 2 månader efter köp.  Jag fick åka till en verkstad själv och byta dessa vilket kostade mig ytterligare 5650:- Fick dessutom reda på att det var de 2 sensorer som Tullinge Bil hade bytt ut som hade gått sönder och som enl. verkstaden inte var monterat/installerat på rätt vis och det var därför det gått sönder.  Så räkna inte med att få hjälp om bilen börjar krångla om ni köper en bil därifrån.  Välj någon seriös bilhandlare istället. ",negative
Mycket bra underhållning och mat,positive
"Jag som astmatiker och allergiker trodde jag köpt en komplett rengöring av ventilationskanalerna. Både till- och frånluft. Detta står på offerten och kan man även tolka så i medsänt produktblad. Döm om min förvåning då hantverkare säger att tilluftskanalerna gör han inte rent. Ringer den som skickat offerten (Linda Söderström, Umeå) och hon säger samma sak och hänvisar till huvudkontoret. Blir mer upprörd. Ringer huvudkontoret och de säger att detta står i produktblad och uppmanar mig skicka brev om jag är missnöjd. Har skickat brev och väntar på svar. Gäller inte det som står i offert?",negative
Vi har köpt en lägenhet genom Johan Franzon. Han gav ett lugnt och korrekt intryck och var påläst och vänlig.,positive
"Skrev tidigare att de hade jätte trevlig personal här. Men jag måste tyvärr ändra mig. Sist jag var där så var det en super otrevlig människa som stod i kassan. Jag och mitt sällskap blev lite halv chockade när vi skulle beställa. Hon var nonchalant och stod och åt godis medans hon tog vår beställning och hon var riktigt dryg. Synd att hon var så oproffesionell att jag ändrar mitt betyg på hela restaurangen, för maten där är riktigt god faktiskt.",negative
Sålt ett kedjehus. Mycket vänligt och professionellt bemötande med hänsyn och lyhördhet för mina personliga förutsättningar.,positive
"Maria har sålt vårt hus. Det startade med en rekommendation från byrån i Nacka. Maria kom till oss och värderade huset till 8 milj. tyvärr uppdagades fukt vid besiktning, här hade Maria kunnat med sin erfarenhet som mäklare sagt att det är oerhört svårt att sälja en bostad på denna marknad med fukt. Hon borde rått oss till åtgärd omedelbart. Vilket bi valde sedan men försent. Här börjar missnöjet. Svag rådgivning, inga taktiker, svag feed back efter visningar. Visst är vi fler än Maria i affären, och har delat ansvar. Men vi använder mäklare för expertisen. Här brast det. Vi hade under tiden velat byta mäklare, tiden stod i vägen bara. Från värderat hus om 8 milj blev en försäljning på 6 420 000kr det var vår familjs misstag!",negative
Snabb och resepktfull service.,positive
Skitig och tråkig lokal med halvkul personal. Dock ganska så billigt.,negative
Rengöring av frånluftskanaler. Jättetrevligt bemötande av tekniker.,positive
"En trappa ner där vi först placerades luktade det avlopp, det visste de eftersom det var flera som bett om att få byta bord och det gjorde även vi. Menyerna är inplastade vilket ger en rätt billig känsla av stället. För många rätter på menyn. Fin lokal och inredning och trevlig personal. Maten var ok men inte utmärkande, jag kommer inte gå tillbaka.",negative
Mycket bra service och snabb leverans!,positive
Tog extremt mycket mer tid än utlovat.,negative
"Har nu varit hit flera gånger och har alltid varit nöjd. Är väldigt kräsen med mina blonda slingor men det blir skitbra här. Även klippningen är jag nöjd med. Tycker mest att betyget ramlar lite pga att ""hygienen"" kunde vara bättre (sprita hårborstar och dylikt) och lokalerna. Men man kommer ju dit för arbetet. Jag gillar frisörerna och dom är trevliga men första intrycket var att dom va lite sura.",positive
"Det blev en besvikelse ! Då vi trodde att man var trygg att köpa bil vid ett så stort företag. Bilen marknadsförs med ett sk Riddermaekstest. Då borde det funnits reservhjul eller motsvarande med vid köpet! Säljaren kunde tyvärr åtgärda detta ! Vi påpekade även att bilen varit skadad omlackad men det sa säljaren att det inte stämde, viker var helt fel. Den hade blivit påkörd så motorhuv,, vä framskärm och stötfångare är omlackat! Dolda fel ???",negative
Mille och hans personal var jättetrevliga och väldigt kunniga ...kändes tryggt att köpa bil där....,positive
"SS-service gav oss extremt dålig service i samband med en flyttstädning i vår lgh i Bromma nyligt. Förvaltaren godkände inte städningen. Ytlig, slarvig, i kök och badrum särskilt samt golven. Fönsterputsningen var ok.  Företaget skickar tillbaka samma två städare som gör ett nytt slarvigt jobb. Svårighet att kommunicera pga språkförbistringar. Vid det här laget är vårt  förtroende brutet för firman. Vi vill betala bara för fönsterputsningen , kr 600 av de 1.200 kr men de blir otrevliga och raljanta i tonen och vägrar detta. Hotar med inkasso via mejl.  Kommer aldrig att anlita denna firma igen, varning alltså. Betyg: minus noll",negative
Specialist inom compliance och utbildning inom den finansiella sektorn.,positive
Hon använde mycket aggressiva produkter. Färgen blev en onaturlig gul istället för blond.,negative
Har precis sålt min lägenhet genom Sarah Sjödin på,positive
"Rest stängd. Inget meddelande om detta sändes, Så vi blev besvikna. Det regnade så vi trodde vädret var skälet. men vid förfrågan blev svaret att det varit öppet. Men när man såg in genom fönstret såg det stängt ut. Sorry.",negative
"Är supernöjd. Fin gran, väldigt smidigt att jag kunder följa leveransen och se exakt när den skulle levereras. Är supernöjd!",positive
"Jag lämnade min bil till Speedy i Malmö vid två tillfällen för att de skulle undersöka varför det blinkade vissa varningslampa i instrumentpanel, och varför jag fick motorstopp, samt en grund service. Första tillfälle tog det två dygn, de bytte ut en del, jag betalade för delen + arbete, felet var kvar. Lämnade åter bilen. Ytterliggare två dygn. Speedy bytte ut en ny del, jag betalade för det + arbete, felet var kvar - 6000 kr totalt. Det blev en väldigt dyr grund service och det blinkar fortfarande varningslampa i instrumentpanelen.  Kommunikationen med Speedy var undermålig. Jag kom inte fram till verkstaden när jag försökte ringa - flera gånger under dessa väntansdagar. De hörde inte av sig för att uppdatera om läget, som de lovade att göra.  Sammanfattning - mycket dålig kommunikation, mycket lång tid att utföra undersökning och bristande reparation - eftersom det byttes ut delar som inte var ursak till problemet jag hade men min bil. Jag rekommenderar inte Speedy i Malmö! ",negative
Terminalglasögon via mitt jobb. Blev trevligt bemött och fick undersökning. Är mycket nöjd med glasögonen,positive
De är mycket snäll och bra service,negative
Mycket bra Kunnig Påläst betyg 5 ,positive
"Efter en dag i Uppsala besöker vi Villa Romana, mycket trevligt bemötande välkomnar oss. Menyn lockar, trevligt presenterar den komponeringen av de olika rätterna. Under tiden vi väntar, bjuds på hembakt bröd med tapenade. Så kommer maten ....det motsvarar verkligen inte förväntningarna. Den fräscha ruccolan är inkokt till något oigenkänneligt tillsammans med pastakuddarna och parmaskinkan. Tyvärr blir det inga fler besök av oss. Thomas med vänner",negative
"De bästa frisörerna jag har mött. Snälla, trevliga och alltid lika glada. Och de klipper billigt också. Värt att boka tid till klippning bara för att se hur trevliga de är.",positive
Fick veta innan flytten att det skulle kosta 6150 kr. Slutsumman blev 36000 kr.,negative
Köpte en bil ifrån dom. blev trevlig möte av deras sälja som Heter Ali. verklig duktig och vet va han pratar om när det kommer förklara sig om bilar.. Han lovade och höll sina ord. rekommenderar stället stort..  Ny ägare där och och det ska vara bra ..,positive
"Sämsta & snålaste hyresvärden i hela Nässjö. Folk betalar in dyra hyror varje månad & då räkna man med att renovering sker. Bor på Åkershäll huset ligger i bra område men hela huset förfaller,  uppruttna väggar på balkong, dörr som slått sej så pass mkt att man få dra stenhårt för stänga, fukt & ruttet, endast 2 glasfönster så svinkallt bli det. Hela hustaket borde renoveras & byta ut teglet på hela taket men finns ett ""Gruppboende"" i huset, den delen som är hustaket över gruppboendet så byter de teglet men ej hela taket, endast taket över gruppboendet. Övriga hyresgäster anses ej viktiga. När de bytte ut alla fönster i sjöbackens äldreboende så fick js detta till svar av vd;n Thomas efter ja sa då att de byter alla i huset ja bor men icke bytte dom fönster. Fd bovärden på samma gata fick nya 3 glasfönster isatta även hela väggpanelen utbytt men detta hus förfallet. Snöskottningen är jäkligt dålig det med, är det under 8 cm så ingen skottning. Ja felanmälde denna dörr, det enda de gjorde var att smörja lite. Det får inte kosta något, det blir för dyrt. Om det vore gruppboende hela huset då hade de renoverat. Nej inte undra på att folk flyttar när de inget byter, huset är från 1949 talet & inget är gjort. Samma gamla 2 glasfönster, balkongdörr med mera. Rekomenderas ej, hyresvärd som enbart höjer din hyra men ej renovera.",negative
"Fantastiskt vänlig hjälp när jag på morgonen upptäckte en eländig punka. Snabb, vänligt och proffsigt!",positive
"VARNING!!!! Vi reklamerade en soffa (Howard) som blivit extremt noppig redan efter ett par månader. De godtog EJ reklamationen eftersom de menar att deras sofftyg blir så om man sitter i soffan med kläder på, särskilt om man använder jeans. De ser noppigt tyg efter ett par månader som normalt slitage.",negative
"Trevlig och vi fick svar på de frågor vi hade, hjälpsam. Han hjälpte oss med kontrakt skrivning och själva köpet (privat).",positive
